Dispozice,Energetická náročnost budovy,Kauce,Měsíční poplatky,Podlaží,Provize realitní kanceláře,Vybavený,Výměra,geo-lat,geo-lng,Balkón,Sklep,Pračka,Lednice,Myčka,Cenová skupina,Výměrová skupina
3,6,0,0,11,0,2,56,50.082390000000004,14.452210000000001,0,0,0,0,0,3,3
5,6,0,0,11,0,2,66,50.08868,14.38362,0,0,0,0,0,3,3
4,1,24000,4500,18,0,2,138,50.00192,14.34755,0,0,0,0,0,4,8
6,6,50000,800,8,0,2,84,50.072179999999996,14.43984,0,0,0,0,0,4,5
5,6,40000,5000,0,0,1,60,50.086909999999996,14.44902,0,0,0,0,0,3,3
5,2,48000,4500,3,0,1,68,50.08045,14.49896,0,0,0,0,0,3,4
2,6,40000,20000,18,0,1,60,50.10455,14.375620000000001,0,0,0,0,0,3,3
5,3,60000,5000,18,0,1,90,50.20865,15.8211,0,0,0,0,0,3,5
4,6,20000,7000,18,0,1,124,49.23673,16.52763,0,0,0,0,0,4,7
5,6,0,2500,8,0,2,70,50.08396,14.453429999999999,0,0,0,0,0,3,4
4,6,40000,3000,13,0,1,57,50.06309,14.425310000000001,0,0,0,0,0,3,3
0,6,20000,0,12,0,0,35,50.0561,14.40545,0,0,0,0,0,3,1
5,6,30001,5000,8,0,2,102,50.03252,14.377170000000001,0,0,0,0,0,4,6
3,6,0,0,13,1,1,66,50.07747,14.41865,0,0,0,0,0,3,3
3,6,0,0,13,1,1,50,50.066359999999996,14.419229999999999,0,0,0,0,0,3,2
3,6,0,500,11,1,2,51,50.08587,14.450510000000001,0,0,0,0,0,3,2
3,6,0,0,16,1,2,78,49.32251,17.027929999999998,0,0,0,0,0,4,4
3,2,0,0,14,0,1,65,50.07464,14.446810000000001,0,0,0,0,0,4,3
5,2,0,0,12,1,0,68,50.11515,14.5652,1,0,0,0,0,3,4
5,6,23500,0,8,0,1,70,50.06868,14.35529,0,0,0,0,0,4,4
14,6,0,0,8,1,2,90,50.02758,14.64049,0,0,0,0,0,3,5
0,6,0,0,8,1,1,40,50.07205,14.441429999999999,0,0,0,0,0,3,1
2,6,0,2000,11,1,0,81,50.11022,14.3774,0,0,0,0,0,4,4
0,6,0,0,11,0,1,40,50.07205,14.441429999999999,0,0,0,0,0,3,1
2,6,0,0,11,1,1,68,50.072540000000004,14.438970000000001,0,0,0,0,0,4,4
14,6,0,0,8,1,2,290,49.9704,14.060870000000001,0,0,0,0,0,4,12
3,6,0,0,13,1,1,52,50.09278,14.43007,0,0,0,0,0,4,2
5,6,0,0,3,1,1,81,50.08045,14.49896,1,0,0,0,0,3,4
5,6,0,0,11,1,2,74,50.01468,14.4459,0,0,0,0,0,3,4
3,6,0,0,12,1,2,70,50.06979000000001,14.434510000000001,1,0,0,0,0,4,4
14,2,0,0,18,1,2,101,50.15087,14.500110000000001,0,0,0,0,0,4,6
7,6,0,0,11,1,2,72,50.02329,14.447429999999999,0,0,0,0,0,3,4
4,2,0,0,8,1,0,97,50.10205,14.41865,0,0,0,0,0,3,6
1,5,0,0,13,1,1,35,50.07403,14.44081,0,0,0,0,0,3,1
1,5,0,0,11,1,1,35,50.07403,14.44081,0,0,0,0,0,3,1
3,6,0,0,0,1,1,42,50.07202,14.43653,0,0,0,0,0,4,1
4,6,0,0,12,1,0,105,50.094159999999995,14.46408,0,0,0,0,0,4,6
4,6,0,0,13,1,0,103,50.07626,14.441970000000001,0,0,0,0,0,4,6
5,1,0,0,15,0,2,72,50.03149000000001,14.363079999999998,1,0,0,0,0,3,4
2,6,46000,4000,8,0,1,50,50.09041,14.4298,0,0,0,0,0,4,2
3,2,0,0,11,1,1,62,50.10273,14.452779999999999,1,0,0,0,0,3,3
5,6,0,0,13,0,2,84,50.05778,14.421420000000001,1,0,0,0,0,4,5
4,6,0,0,12,1,2,105,50.094159999999995,14.46408,0,0,0,0,0,4,6
14,6,0,0,18,1,0,200,49.97143,14.7385,0,0,0,0,0,4,10
3,6,22000,3816,12,0,1,68,50.069720000000004,14.399429999999999,0,0,0,0,0,3,4
5,6,0,0,11,1,1,80,49.17812,16.61965,0,0,0,0,0,3,4
5,2,0,0,12,1,2,89,50.05122,14.344370000000001,1,0,0,0,0,3,5
3,1,0,0,14,1,1,49,50.10877,14.4574,0,0,0,0,0,4,2
3,2,0,0,12,1,1,66,50.09904,14.35576,0,0,0,0,0,3,3
3,2,0,0,11,1,2,52,50.04874,14.42936,0,0,0,0,0,3,2
3,6,0,0,0,1,1,77,50.078379999999996,14.43879,0,0,0,0,0,4,4
3,6,0,0,12,1,2,70,50.05706,14.46999,0,0,0,0,0,4,4
5,6,0,0,13,1,2,88,50.12252,14.46471,0,0,0,0,0,3,5
7,6,0,0,16,0,2,181,49.20058,16.61401,0,0,0,0,0,4,9
14,6,0,5000,18,1,0,135,50.12768,14.649989999999999,0,0,0,0,0,4,8
1,1,0,0,12,1,1,40,50.06679000000001,14.423470000000002,0,0,0,0,0,4,1
3,6,40000,2886,17,0,1,57,50.09677,14.46764,0,0,0,0,0,4,3
3,6,40000,3500,11,0,1,56,50.09507,14.45091,0,0,0,0,0,4,3
3,6,25000,3500,8,0,1,55,50.073029999999996,14.408389999999999,0,0,0,0,0,3,3
3,6,29000,5000,8,0,1,88,50.0847,14.467889999999999,0,0,0,0,0,4,5
5,6,0,0,14,1,2,97,50.07345,14.43431,1,0,0,0,0,5,6
5,6,0,0,14,1,2,103,50.101240000000004,14.39807,0,0,0,0,0,5,6
10,6,0,0,8,0,2,158,50.06767,14.293829999999998,0,0,0,0,0,5,9
5,6,0,0,11,1,1,109,50.09771,14.35322,0,0,0,0,0,5,6
5,6,32000,500,13,0,2,101,50.10238,14.42639,0,0,0,0,0,5,6
7,1,0,0,11,1,2,113,50.08729,14.32942,0,0,0,0,0,5,6
4,6,0,0,11,1,2,125,50.077870000000004,14.425239999999999,0,0,0,0,0,5,7
5,6,0,0,14,1,2,101,50.0998,14.427439999999999,0,0,0,0,0,5,6
5,6,0,0,13,1,2,109,50.10534000000001,14.39514,1,0,0,0,0,5,6
2,6,0,0,0,0,0,90,50.08051,14.44536,0,0,0,0,0,5,5
4,6,0,0,12,1,1,126,50.07747,14.41865,0,0,0,0,0,5,7
4,6,0,0,8,1,1,103,50.077909999999996,14.44082,0,0,0,0,0,5,6
4,6,0,0,12,1,1,87,50.07747,14.41865,0,0,0,0,0,5,5
4,6,0,0,11,1,1,103,50.077909999999996,14.441729999999998,0,0,0,0,0,5,6
4,4,0,0,8,1,2,103,50.077909999999996,14.441729999999998,0,0,0,0,0,5,6
5,2,0,0,8,1,2,103,50.1134,14.379660000000001,0,0,0,0,0,5,6
5,6,0,0,11,1,2,69,50.089859999999994,14.42866,0,0,0,0,0,5,4
5,6,0,0,8,1,2,65,50.089859999999994,14.42866,0,0,0,0,0,5,3
7,3,0,0,12,0,1,161,50.0744,14.42555,0,0,0,0,0,5,9
14,1,0,0,18,1,0,140,49.99853,14.58358,0,0,0,0,0,5,8
5,6,0,0,13,1,2,69,50.089859999999994,14.42866,0,0,0,0,0,5,4
7,6,0,0,12,1,2,114,50.09879,14.34759,0,0,0,0,0,5,6
7,6,0,0,0,1,2,93,50.04734000000001,14.303120000000002,0,0,0,0,0,5,5
5,2,0,0,15,1,1,88,50.08478,14.46982,0,0,0,0,0,5,5
4,6,0,0,8,0,2,100,50.08185,14.419120000000001,0,0,0,0,0,5,6
5,6,0,0,8,1,0,95,50.091229999999996,14.422170000000001,0,0,0,0,0,5,5
3,6,0,0,8,1,1,58,50.07837,14.44483,0,0,0,0,0,5,3
4,6,0,0,12,1,2,102,50.07537,14.44904,0,0,0,0,0,5,6
2,6,0,0,13,1,2,87,50.07537,14.44904,0,0,0,0,0,5,5
5,2,36000,35000,11,0,1,69,50.05634000000001,14.380989999999999,0,0,0,0,0,5,4
3,6,0,0,8,1,1,49,50.06662,14.423079999999999,0,0,0,0,0,5,2
5,6,0,0,12,1,2,69,50.089859999999994,14.42866,0,0,0,0,0,5,4
5,1,0,0,8,1,1,87,50.09677,14.46764,0,0,0,0,0,5,5
7,6,60000,5000,11,0,1,140,49.21709,16.6247,0,0,0,0,0,5,8
5,2,39500,8500,16,0,1,130,50.08553,14.4691,0,0,0,0,0,5,7
4,6,0,0,13,1,2,115,50.07774000000001,14.42516,0,0,0,0,0,5,7
5,6,0,0,13,1,2,140,50.072559999999996,14.41017,0,0,0,0,0,5,8
5,6,0,0,11,0,2,85,50.07403,14.44081,0,0,0,0,0,5,5
3,6,0,0,13,1,1,74,50.0874,14.41625,0,0,0,0,0,5,4
2,6,0,0,11,1,1,79,50.08609000000001,14.4167,0,0,0,0,0,5,4
3,6,0,0,12,1,1,72,50.09086,14.43065,0,0,0,0,0,5,4
5,6,0,0,0,1,1,85,50.09433,14.50009,0,0,0,0,0,5,5
5,6,0,0,14,1,1,93,50.09135,14.50164,0,0,0,0,0,5,5
5,1,35000,0,0,0,1,117,49.19061,16.62053,0,0,0,0,0,5,7
3,6,0,0,11,1,2,68,50.08084,14.414829999999998,0,0,0,0,0,5,4
3,6,0,0,0,1,1,85,50.0824,14.43829,0,0,0,0,0,5,5
14,2,0,0,8,1,2,215,49.95858,14.74729,0,0,0,0,0,5,10
7,3,0,7000,12,1,1,166,49.20431,16.6127,0,0,0,0,0,5,9
10,6,0,0,8,0,2,158,50.06766,14.293820000000002,1,0,0,0,0,5,9
6,3,0,6000,11,1,0,130,49.19913,16.58895,0,0,0,0,0,5,7
4,6,0,0,8,1,2,103,50.077909999999996,14.441729999999998,0,0,0,0,0,5,6
4,6,0,0,12,1,2,102,50.07524,14.4536,0,0,0,0,0,5,6
6,6,0,0,8,1,2,130,50.04524,14.404929999999998,0,0,0,0,0,5,7
2,6,0,0,13,1,2,87,50.07524,14.4536,0,0,0,0,0,5,5
6,6,0,0,12,0,2,127,50.08574,14.43169,0,0,0,0,0,5,7
5,2,0,5900,11,1,2,90,50.10416,14.40889,0,0,0,0,0,5,5
3,2,0,0,14,1,1,110,50.101009999999995,14.40463,0,0,0,0,0,5,6
7,6,0,0,13,1,2,109,50.10534000000001,14.39514,0,0,0,0,0,5,6
5,6,0,0,13,0,1,69,50.06201,14.402070000000002,1,0,0,0,0,5,4
5,6,0,0,8,1,1,87,50.0058,14.431289999999999,0,0,0,0,0,5,5
5,6,0,0,15,1,2,140,50.07002,14.4165,0,0,0,0,0,5,8
