Cena,Další vybavení,Dispozice,Druh,Energetická náročnost budovy,K nastěhování,Kauce,Měsíční poplatky,Podlaží,Poznámka,Pronájem přidán,Provize realitní kanceláře,Vybavený,Výměra,data-id,data-idx,geo-lat,geo-lng,id
dohodou,Balkón,dům,Pronájem,G - Mimořádně nehospodárná,,,,, Cena k jednání,před 5 měsíci,Info u RK,Částečně,250 m2,2645624,0,50.01704,14.22649,#offer-0
dohodou,Sklep,2+1,Pronájem,G - Mimořádně nehospodárná,,,,3. patro, Cena nájmu dohodou,před 2 měsíci,Info u RK,Částečně,54 m2,2991593,1,49.1928,14.71803,#offer-1
dohodou,,3+kk,Pronájem,G - Mimořádně nehospodárná,Ihned,1 Kč,1 Kč/měsíc,7. patro,,před 9 měsíci,Ano,Částečně,85 m2,2855071,2,49.60008,17.219479999999994,#offer-2
dohodou,,2+kk,Pronájem,G - Mimořádně nehospodárná,,,,1. patro," + služby cca 1 800,-Kč, kauce ve výši 40 000,-Kč",před měsícem,Info u RK,Vůbec,45 m2,3053099,3,49.46335,17.97244,#offer-3
dohodou,,2+kk,Pronájem,G - Mimořádně nehospodárná,,,,1. patro," + služby cca 1 800,-Kč, kauce ve výši 40 000,-Kč",před měsícem,Info u RK,Vůbec,48 m2,3053073,4,49.46335,17.97244,#offer-4
dohodou,,2+kk,Pronájem,G - Mimořádně nehospodárná,,,,1. patro," + služby cca 1 800,-Kč, kauce ve výši 40 000,-Kč",před měsícem,Info u RK,Vůbec,52 m2,3053061,5,49.46335,17.97244,#offer-5
dohodou,,2+kk,Pronájem,G - (neuvedeno),,,,6. patro,,před 2 měsíci,Ano,Částečně,70 m2,3029743,6,50.09815,14.42787,#offer-6
dohodou,,2+kk,Pronájem,G - Mimořádně nehospodárná,,,,2. patro, cena u makléře,před 4 měsíci,Info u RK,Úplně,250 m2,3003499,7,49.47314,17.971610000000005,#offer-7
dohodou,Balkón,dům,Pronájem,G - Mimořádně nehospodárná,,,,, info v RK,před rokem,Info u RK,Vůbec,523 m2,2762566,8,50.10084000000001,14.68144,#offer-8
dohodou,Sklep,3+kk,Pronájem,G - Mimořádně nehospodárná,,,,3. patro, volejte makléři,před rokem,Info u RK,Částečně,92 m2,2719135,9,50.09002,14.41736,#offer-9
dohodou,"Sklep, Balkón",dům,Pronájem,G - Mimořádně nehospodárná,,,,, info v RK,před 2 lety,Info u RK,Částečně,538 m2,2513999,10,50.10908,14.37446,#offer-10
dohodou,,2+1,Pronájem,G - Mimořádně nehospodárná,,,,3. patro,,před 7 měsíci,Info u RK,Částečně,100 m2,2906602,11,50.46077,13.41984,#offer-11
dohodou,Sklep,dům,Pronájem,G - (neuvedeno),,,,, + 11000 poplatky,před 5 měsíci,Info u RK,Částečně,350 m2,2710382,12,49.99665,14.57261,#offer-12
dohodou,,2+1,Pronájem,G - (neuvedeno),,,,5. patro, 100 EUR / noc,před rokem,Info u RK,Částečně,89 m2,960184,13,50.07763,14.41449,#offer-13
dohodou,,2+kk,Pronájem,G - (neuvedeno),,,,5. patro, 1800 Kč / noc (minimální pobyt 3. noci),před 9 měsíci,Info u RK,Částečně,81 m2,2200878,14,50.08562,14.42164,#offer-14
dohodou,,dům,Pronájem,G - (neuvedeno),,,,, + poplatky,před 2 lety,Info u RK,Částečně,534 m2,2078135,15,50.06748,14.388520000000002,#offer-15
dohodou,,2+1,Pronájem,G - Mimořádně nehospodárná,,,,3. patro,,před 2 dny,Ano,Částečně,60 m2,3068857,16,50.49529,13.637479999999998,#offer-16
dohodou,,atypický,Pronájem,G - Mimořádně nehospodárná,,,,2. patro," info v RK, +  zálohy na služby a energie vč. internetu, + provize, včetně právního servisu",před 2 měsíci,Ano,Částečně,26 m2,3046907,17,49.19652,16.609070000000006,#offer-17
1 000 Kč/měsíc,Balkón,1+1,Pronájem,G - (neuvedeno),,,,9. patro," + 500,- Kč el., kauce 1 nájem",před 10 dny,Info u RK,Částečně,1 m2,3065506,18,50.03785,15.760229999999998,#offer-18
22 000 Kč/měsíc,Sklep,2+kk,Pronájem,G - Mimořádně nehospodárná,,,,3. patro," vratná kauce: 24 374 Kč, náklady na bydlení: 2374 Kč + rezervační poplatek",před 10 dny,,Částečně,56 m2,3064506,0,50.08239,14.45221,#offer-0
20 400 Kč/měsíc,,3+kk,Pronájem,G - Mimořádně nehospodárná,,,,3. patro," vratná kauce: 24 000 Kč, náklady na bydlení: 3599 Kč + rezervační poplatek",před 23 dny,,Částečně,66 m2,3059212,1,50.08868,14.38362,#offer-1
24 000 Kč/měsíc,"Pračka, Myčka, Lednice, Balkón",3+1,Pronájem,B - Velmi úsporná,1. 12. 2018,24 000 Kč,4 500 Kč/měsíc,Přízemí,,před 2 dny,Bez provize,Částečně,138 m2,3069389,2,50.00192,14.34755,#offer-2
25 000 Kč/měsíc,"Pračka, Myčka, Lednice, Balkón",4+1,Pronájem,G - (neuvedeno),Ihned,50 000 Kč,800 Kč/měsíc,2. patro,,před 11 dny,Bez provize,Částečně,84 m2,2936229,3,50.07218,14.43984,#offer-3
20 000 Kč/měsíc,"Pračka, Myčka, Lednice, Balkón",3+kk,Pronájem,G - (neuvedeno),15. 1. 2019,40 000 Kč,5 000 Kč/měsíc,1. patro,,před 16 dny,Bez provize,Úplně,60 m2,3062721,4,50.08691,14.44902,#offer-4
21 900 Kč/měsíc,"Pračka, Myčka, Lednice, Sklep, Balkón",3+kk,Pronájem,C - Úsporná,Ihned,48 000 Kč,4 500 Kč/měsíc,11. patro,,před měsícem,Bez provize,Úplně,68 m2,3058092,5,50.08045,14.49896,#offer-5
